epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1210.86,1.57656,1.5443,1.31264,0.18831,0.43856,0.17355,0.06949,2.164,3.12227,1.87221,0.005743,0.005743,0.005743
45,1226.62,1.58215,1.54362,1.22493,0.18831,0.43856,0.17355,0.06949,2.164,3.12227,1.87221,0.005644,0.005644,0.005644
46,1242.33,1.58027,1.5648,1.2568,0.28296,0.38953,0.22535,0.09077,2.20387,2.64696,1.92072,0.005545,0.005545,0.005545
47,1258.95,1.5324,1.51831,1.25392,0.28807,0.37833,0.22061,0.09111,2.19179,2.81817,1.9034,0.005446,0.005446,0.005446
48,1275.4,1.53239,1.5479,1.26561,0.28807,0.37833,0.22061,0.09111,2.19179,2.81817,1.9034,0.005347,0.005347,0.005347
49,1291.62,1.56147,1.64972,1.31298,0.30985,0.48497,0.2811,0.12387,1.9835,2.48267,1.72773,0.005248,0.005248,0.005248
50,1306.96,1.48671,1.51885,1.29317,0.30985,0.48497,0.2811,0.12387,1.9835,2.48267,1.72773,0.005149,0.005149,0.005149
51,1323.24,1.55732,1.56444,1.22807,0.32534,0.53949,0.31015,0.14365,1.80013,2.27651,1.57973,0.00505,0.00505,0.00505
52,1339.15,1.45311,1.44325,1.22833,0.30543,0.58002,0.3099,0.14348,1.81891,2.58597,1.60749,0.004951,0.004951,0.004951
53,1354.86,1.46704,1.44312,1.20488,0.30543,0.58002,0.3099,0.14348,1.81891,2.58597,1.60749,0.004852,0.004852,0.004852
54,1370.12,1.45608,1.43629,1.23273,0.33583,0.64643,0.34123,0.15777,1.85643,3.05412,1.6778,0.004753,0.004753,0.004753
55,1385.5,1.45166,1.44611,1.21097,0.37095,0.68181,0.39562,0.19106,1.84213,2.54922,1.69962,0.004654,0.004654,0.004654
56,1401.58,1.38603,1.49581,1.22258,0.37095,0.68181,0.39562,0.19106,1.84213,2.54922,1.69962,0.004555,0.004555,0.004555
57,1417.42,1.39212,1.58217,1.25782,0.373,0.68454,0.42014,0.20705,1.7792,2.20554,1.62226,0.004456,0.004456,0.004456
58,1433.3,1.52036,1.47504,1.2327,0.373,0.68454,0.42014,0.20705,1.7792,2.20554,1.62226,0.004357,0.004357,0.004357
59,1450.63,1.46626,1.5417,1.1694,0.39404,0.69604,0.4575,0.23013,1.6881,1.83582,1.5249,0.004258,0.004258,0.004258
60,1465.45,1.42633,1.47475,1.21745,0.40861,0.73356,0.48651,0.24117,1.69083,1.7392,1.53105,0.004159,0.004159,0.004159
61,1481.18,1.44301,1.50779,1.19224,0.40861,0.73356,0.48651,0.24117,1.69083,1.7392,1.53105,0.00406,0.00406,0.00406
62,1496.1,1.38194,1.43532,1.18917,0.41527,0.72396,0.5011,0.2491,1.73971,1.75269,1.56507,0.003961,0.003961,0.003961
63,1510.31,1.47711,1.35485,1.12719,0.44028,0.69224,0.50009,0.24111,1.76641,1.68509,1.57587,0.003862,0.003862,0.003862
64,1525.18,1.31135,1.28836,1.08546,0.44028,0.69224,0.50009,0.24111,1.76641,1.68509,1.57587,0.003763,0.003763,0.003763
65,1540.98,1.33272,1.31004,1.13344,0.46945,0.66882,0.50866,0.24349,1.75919,1.60515,1.56306,0.003664,0.003664,0.003664
66,1555.73,1.34015,1.36412,1.11846,0.46945,0.66882,0.50866,0.24349,1.75919,1.60515,1.56306,0.003565,0.003565,0.003565
67,1571.92,1.55523,1.48304,1.29644,0.48531,0.61981,0.50286,0.25345,1.69977,1.59791,1.54201,0.003466,0.003466,0.003466
68,1587.54,1.35628,1.35904,1.18919,0.48443,0.60479,0.50041,0.25658,1.66545,1.61618,1.52658,0.003367,0.003367,0.003367
69,1602.75,1.40261,1.44507,1.15446,0.48443,0.60479,0.50041,0.25658,1.66545,1.61618,1.52658,0.003268,0.003268,0.003268
