epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5219.87,1.50479,0.72402,1.18873,0.88388,0.85863,0.89744,0.46444,1.636,0.76289,1.32604,0.00098525,0.00098525,0.00098525
43,5348.28,1.45332,0.70721,1.15833,0.87781,0.85421,0.8987,0.46406,1.68123,0.75024,1.33335,0.0009605,0.0009605,0.0009605
44,5477.66,1.44026,0.69758,1.15817,0.88966,0.84074,0.89176,0.45738,1.66427,0.76813,1.32556,0.00093575,0.00093575,0.00093575
45,5584.33,1.405,0.68156,1.1377,0.89751,0.85973,0.90401,0.48047,1.62479,0.73591,1.30847,0.000911,0.000911,0.000911
46,5705.57,1.45334,0.69578,1.14749,0.90013,0.85734,0.9095,0.47774,1.62116,0.73664,1.31908,0.00088625,0.00088625,0.00088625
47,5826.93,1.43001,0.69508,1.14826,0.88125,0.85183,0.89741,0.47908,1.62483,0.73991,1.32588,0.0008615,0.0008615,0.0008615
48,5941.6,1.42351,0.69017,1.16785,0.8867,0.85122,0.89774,0.47933,1.61702,0.73353,1.31224,0.00083675,0.00083675,0.00083675
49,6055.12,1.40054,0.66165,1.14824,0.89867,0.86159,0.91273,0.49553,1.58442,0.70972,1.30464,0.000812,0.000812,0.000812
50,6179.52,1.38486,0.66595,1.14362,0.90257,0.85549,0.91314,0.48691,1.59125,0.71643,1.29727,0.00078725,0.00078725,0.00078725
51,6283.73,1.35754,0.66161,1.12524,0.89324,0.87256,0.91136,0.48827,1.56794,0.72424,1.29421,0.0007625,0.0007625,0.0007625
52,6404.43,1.34634,0.64525,1.1088,0.90603,0.85834,0.90723,0.4902,1.56169,0.71622,1.2968,0.00073775,0.00073775,0.00073775
53,6517.59,1.34521,0.64268,1.13348,0.91384,0.8628,0.91401,0.48949,1.57671,0.70356,1.30821,0.000713,0.000713,0.000713
54,6651.78,1.36366,0.64956,1.11331,0.90184,0.87398,0.9162,0.48763,1.58669,0.70524,1.30407,0.00068825,0.00068825,0.00068825
55,6767.99,1.34669,0.65049,1.10933,0.90264,0.8628,0.9104,0.48524,1.56353,0.70311,1.30124,0.0006635,0.0006635,0.0006635
56,6882.5,1.27717,0.61048,1.11029,0.90189,0.87256,0.91347,0.49484,1.56599,0.69996,1.30737,0.00063875,0.00063875,0.00063875
57,6988.91,1.32414,0.61785,1.09064,0.91286,0.87073,0.91943,0.50475,1.56158,0.69166,1.29129,0.000614,0.000614,0.000614
58,7110,1.31483,0.6283,1.09504,0.90194,0.88612,0.92327,0.50927,1.52972,0.6906,1.27711,0.00058925,0.00058925,0.00058925
59,7236.49,1.29874,0.62657,1.08639,0.91213,0.87353,0.9166,0.50413,1.53369,0.68396,1.27325,0.0005645,0.0005645,0.0005645
60,7352.92,1.26153,0.60845,1.08289,0.90263,0.88179,0.91337,0.51106,1.53047,0.67252,1.27521,0.00053975,0.00053975,0.00053975
61,7468.85,1.28976,0.60817,1.07292,0.9089,0.87195,0.91127,0.51513,1.51915,0.67585,1.26934,0.000515,0.000515,0.000515
62,7590.82,1.2502,0.59058,1.07296,0.91333,0.86646,0.90608,0.51062,1.53334,0.68121,1.26704,0.00049025,0.00049025,0.00049025
63,7704.92,1.23197,0.59237,1.07318,0.92436,0.8569,0.90851,0.51002,1.51604,0.67269,1.26749,0.0004655,0.0004655,0.0004655
64,7824.6,1.24224,0.59193,1.06487,0.91506,0.86708,0.91673,0.51484,1.50495,0.66359,1.26904,0.00044075,0.00044075,0.00044075
65,7940.66,1.22572,0.57969,1.07004,0.90615,0.87622,0.91766,0.51252,1.51386,0.66317,1.28068,0.000416,0.000416,0.000416
66,8068.78,1.22667,0.57878,1.06291,0.89668,0.87843,0.91422,0.50826,1.51849,0.66997,1.28199,0.00039125,0.00039125,0.00039125
