epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1482.17,1.09574,0.9282,1.00128,0.64021,0.66062,0.68708,0.45772,1.26166,1.47551,1.37613,0.005743,0.005743,0.005743
45,1514.49,1.08562,0.92137,0.9994,0.5802,0.62061,0.64372,0.42623,1.27209,1.49895,1.39212,0.005644,0.005644,0.005644
46,1546.57,1.09069,0.91635,0.99554,0.68147,0.62263,0.68835,0.45237,1.2683,1.52614,1.38722,0.005545,0.005545,0.005545
47,1578.18,1.08177,0.91202,0.99844,0.57405,0.69565,0.67121,0.44335,1.26724,1.45084,1.39053,0.005446,0.005446,0.005446
48,1610.31,1.0739,0.9019,0.99686,0.61577,0.66395,0.66314,0.43877,1.26201,1.46795,1.37502,0.005347,0.005347,0.005347
49,1642.43,1.06637,0.90205,0.99229,0.64674,0.64591,0.68408,0.45258,1.27725,1.42481,1.39082,0.005248,0.005248,0.005248
50,1674.6,1.07508,0.89924,0.99534,0.63688,0.69361,0.69409,0.46067,1.2581,1.44228,1.3811,0.005149,0.005149,0.005149
51,1706.16,1.07038,0.90347,0.99142,0.63764,0.64997,0.68444,0.45171,1.24277,1.43958,1.36385,0.00505,0.00505,0.00505
52,1738.5,1.07252,0.87908,0.98485,0.59153,0.6734,0.67042,0.45221,1.23688,1.41346,1.36107,0.004951,0.004951,0.004951
53,1769.69,1.05606,0.89481,0.99412,0.66062,0.66679,0.69004,0.46397,1.24348,1.43759,1.35473,0.004852,0.004852,0.004852
54,1801.8,1.05024,0.87441,0.98333,0.65595,0.68639,0.70852,0.47397,1.25721,1.39908,1.38267,0.004753,0.004753,0.004753
55,1833.47,1.0707,0.90945,0.99551,0.62249,0.69551,0.69678,0.46081,1.25074,1.46291,1.36375,0.004654,0.004654,0.004654
56,1865.22,1.05722,0.87445,0.98455,0.66655,0.6927,0.71526,0.47418,1.23076,1.43262,1.34925,0.004555,0.004555,0.004555
57,1896.43,1.05054,0.87443,0.98897,0.65804,0.67228,0.69636,0.46304,1.25119,1.42598,1.36099,0.004456,0.004456,0.004456
